capture_timestamp,payer_zip,payer_state,payer_country,payee_zip,payee_state,payee_country
1412121805,2301,MA,US,2301,MA,US
1412121806,64151,,US,66210,KS,US
1412121806,92373,CA,US,32034,FL,US
1412121809,21133,MD,US,NULL,NULL,NULL
1412121809,67486,Nuevo Leon,MX,95054,CA,US
1412121810,60160,IL,US,49130,MI,US
1412121811,95677,,US,96720,HI,US
1412121812,48236,MI,US,48084,MI,US
1412121812,16648,PA,US,17101,PA,US
1412121815,32404,,US,55313,MN,US
1412121816,11234,NY,US,11209,NY,US
1412121817,12020,,US,55313,MN,US
1412121817,55792,MN,US,55804,MN,US
1412121817,20002,DC,US,20747,MD,US
1412121818,96161,,US,55313,MN,US
1412121818,60090,IL,US,55431,MN,US
1412121820,33034,FL,US,NULL,NULL,NULL
1412121821,1354,MA,US,22102,VA,US
1412121823,30311,,US,30315,GA,US
1412121824,77355,TX,US,NULL,NULL,NULL
1412121824,7446,NJ,US,N6J 1W1,ON,CA
1412121825,12871,NY,US,4090,ME,US
1412121826,11426,NY,US,11566,NY,US
1412121829,38128,TN,US,22102,VA,US
1412121846,1562,MA,US,1057,MA,US
1412121846,6478,CT,US,7920,NJ,US
1412121847,19808,DE,US,31709,GA,US
1412121848,17724,PA,US,7830,NJ,US
1412121850,12443,NY,US,14526,NY,US
1412121852,98642,WA,US,98604,WA,US
1412121853,8558,NJ,US,92627,CA,US
1412121853,91602,CA,US,84116,UT,US
1412121853,7747,NJ,US,48067,MI,US
1412121853,89117,NV,US,89143,NV,US
1412121854,94114,CA,US,48067,MI,US
1412121854,92570,CA,US,92571,CA,US
1412121855,53089,WI,US,48067,MI,US
1412121855,34771,FL,US,33830,FL,US
1412121856,49415,MI,US,49417,MI,US
1412121856,53132,WI,US,60655,IL,US
1412121857,70301,LA,US,70301,LA,US
1412121858,32514,FL,US,78541,TX,US
1412121859,80120,CO,US,76710,TX,US
1412121860,37919,TN,US,NULL,NULL,NULL
1412121861,61025,IL,US,61025,IL,US
1412121861,54521,WI,US,54216,WI,US
1412121863,93704,CA,US,22102,VA,US
1412121863,76108,TX,US,77478,TX,US
1412121863,80222,CO,US,80202,CO,US
1412121865,19711,DE,US,22102,VA,US
1412121865,6614,CT,US,23462,VA,US
1412121865,27703,NC,US,27610,NC,US
1412121865,93725,CA,US,49341,MI,US
1412121866,11385,NY,US,11232,NY,US
1412121867,82001,WY,US,82007,WY,US
1412121867,94619,CA,US,94608,CA,US
1412121867,77055,TX,US,77042,TX,US
1412121868,76087,AK,US,NULL,NULL,NULL
1412121868,38002,TN,US,38028,TN,US
1412121870,92591,CA,US,95219,CA,US
1412121870,85255,AZ,US,85260,AZ,US
1412121871,10030,,US,10027,NY,US
1412121871,22311,,US,NULL,NULL,NULL
1412121871,35212,AL,US,80304,CO,US
1412121872,27205,NC,US,28403,NC,US
1412121874,54302,WI,US,84020,UT,US
1412121874,93109,CA,US,93109,CA,US
1412121874,14225,NY,US,14004,NY,US
1412121875,17540,,US,17347,PA,US
1412121876,7645,NJ,US,7079,NJ,US
1412121876,10708,NY,US,5404,VT,US
1412121876,98816,WA,US,98817,WA,US
1412121878,77027,TX,US,46166,IN,US
1412121881,19143,PA,US,2907,RI,US
1412121883,33897,FL,US,32806,FL,US
1412121906,84645,UT,US,84045,UT,US
1412121906,38849,MS,US,39759,MS,US
1412121906,77845,TX,US,78541,TX,US
1412121909,13676,NY,US,13676,NY,US
1412121909,13676,NY,US,13676,NY,US
1412121910,34761,FL,US,90401,CA,US
1412121912,20782,,US,95124,CA,US
1412121913,99835,AK,US,85037,AZ,US
1412121914,32807,FL,US,32817,FL,US
1412121914,8055,NJ,US,8075,NJ,US
1412121914,47201,,US,28754,NC,US
1412121914,44099,OH,US,84020,UT,US
1412121915,46016,IN,US,46012,IN,US
1412121916,98072,WA,US,98270,WA,US
1412121917,91006,CA,US,90034,CA,US
1412121918,12198,NY,US,12180,NY,US
1412121919,75603,,US,75662,TX,US
1412121919,7405,NJ,US,NULL,NULL,NULL
1412121920,61548,IL,US,96150,CA,US
1412121920,85259,AZ,US,85083,AZ,US
1412121922,1833,MA,US,32174,FL,US
1412121923,20782,,US,55313,MN,US
1412121925,32526,FL,US,35120,AL,US
1412121925,83642,ID,US,83706,ID,US
1412121925,84117,UT,US,76266,TX,US
1412121926,68069,NE,US,NULL,NULL,NULL
1412121926,2165,New South Wales,AU,36303,AL,US
1412121926,48439,MI,US,48085,MI,US
1412121927,85226,AZ,US,85298,AZ,US
1412121929,6878,CT,US,6831,CT,US
1412121929,97030,OR,US,97236,OR,US
1412121929,10025,NY,US,11233,NY,US
1412121929,92663,CA,US,86011,AZ,US
1412121929,10467,NY,US,11214,NY,US
1412121930,35243,AL,US,NULL,NULL,NULL
1412121934,75603,,US,55313,MN,US
1412121936,95827,,US,95833,CA,US
1412121937,13778,NY,US,13905,NY,US
1412121938,63857,MO,US,63869,MO,US
1412121944,28467,NC,US,22102,VA,US
1412121946,6078,,US,55313,MN,US
1412121965,32541,FL,US,NULL,NULL,NULL
1412121965,91607,CA,US,80304,CO,US
1412121965,92020,CA,US,76266,TX,US
1412121968,90064,CA,US,90034,CA,US
1412121968,48313,MI,US,48044,MI,US
1412121972,20707,MD,US,21403,MD,US
1412121972,92101,CA,US,92064,CA,US
1412121972,10009,NY,US,48067,MI,US
1412121973,11752,NY,US,48067,MI,US
1412121974,27127,NC,US,28806,NC,US
1412121974,85258,,US,83706,ID,US
1412121976,22942,VA,US,22963,VA,US
1412121977,53189,WI,US,48067,MI,US
1412121978,20895,MD,US,48067,MI,US
1412121978,2302,MA,US,49341,MI,US
1412121978,33967,FL,US,6905,CT,US
1412121979,77480,TX,US,77414,TX,US
1412121979,62220,IL,US,20872,MD,US
1412121981,44485,OH,US,29020,SC,US
1412121982,30130004,MG,BR,73071,OK,US
1412121983,75057,,US,68701,NE,US
1412121984,34685,FL,US,NULL,NULL,NULL
1412121984,76039,TX,US,76137,TX,US
1412121985,92627,CA,US,92627,CA,US
1412121986,53072,WI,US,22102,VA,US
1412121986,24112,VA,US,49507,MI,US
1412121986,11751,,US,36064,AL,US
1412121987,53217,WI,US,53217,WI,US
1412121987,85719,AZ,US,85713,AZ,US
1412121988,76255,TX,US,22102,VA,US
1412121988,77382,TX,US,23452,VA,US
1412121988,92117,CA,US,91107,CA,US
1412121989,33196,FL,US,33145,FL,US
1412121989,72034,AR,US,4572,ME,US
1412121990,8846,NJ,US,8880,NJ,US
1412121990,22306,VA,US,22407,VA,US
1412121991,1020,MA,US,NULL,NULL,NULL
1412121991,95035,CA,US,91107,CA,US
1412121991,28203,NC,US,28173,NC,US
1412121993,94550,CA,US,85208,AZ,US
1412121993,93291,CA,US,NULL,NULL,NULL
1412121995,90046,CA,US,91107,CA,US
1412121996,17837,PA,US,10033,NY,US
1412121999,80010,CO,US,32569,FL,US
1412122000,32444,FL,US,32404,FL,US
1412122000,3242,NH,US,12887,NY,US
1412122000,R8N1B9,MB,CA,NULL,NULL,NULL
1412122001,6026,CT,US,55416,MN,US
1412122003,65255,MO,US,65201,MO,US
1412122004,94941,CA,US,NULL,NULL,NULL
1412122006,5452,VT,US,22102,VA,US
1412122006,94602,CA,US,NULL,NULL,NULL
1412122010,11751,,US,55313,MN,US
1412122025,2143,MA,US,2324,MA,US
1412122025,55410,,US,90620,CA,US
1412122026,34236,FL,US,89129,NV,US
1412122026,76705,TX,US,76710,TX,US
1412122026,20112,VA,US,7920,NJ,US
1412122030,98816,WA,US,98817,WA,US
1412122030,84606,UT,US,81507,CO,US
1412122032,53545,WI,US,90404,CA,US
1412122033,7086,NJ,US,10475,NY,US
1412122033,15017,PA,US,15211,PA,US
1412122033,87112,NM,US,87114,NM,US
1412122034,85016,AZ,US,NULL,NULL,NULL
1412122034,10022,NY,US,10028,NY,US
1412122035,60618,IL,US,60110,IL,US
1412122036,32807,FL,US,32789,FL,US
1412122036,75503,TX,US,90245,CA,US
1412122036,680758,Singapore,SG,46256,IN,US
1412122036,95134,CA,US,95148,CA,US
1412122037,7031,NJ,US,13026,NY,US
1412122037,28081,NC,US,28025,NC,US
1412122037,32968,FL,US,29575,SC,US
1412122038,17110,PA,US,17603,PA,US
1412122039,55372,MN,US,80829,CO,US
1412122039,77586,TX,US,NULL,NULL,NULL
1412122040,90048,CA,US,90016,CA,US
1412122040,92119,CA,US,92111,CA,US
1412122041,8204,NJ,US,5661,VT,US
1412122041,14772,NY,US,14701,NY,US
1412122041,L3S3K8,,CA,70808,LA,US
1412122043,22963,VA,US,22963,VA,US
1412122044,6437,,US,55313,MN,US
1412122044,8002,NJ,US,19508,PA,US
1412122045,75007,TX,US,76034,TX,US
1412122045,75229,TX,US,37722,TN,US
1412122047,89128,NV,US,84335,UT,US
1412122048,43214,OH,US,44314,OH,US
1412122048,44077,,US,44077,OH,US
1412122050,1949,MA,US,NULL,NULL,NULL
1412122052,11432,NY,US,32824,FL,US
1412122058,44077,,US,55313,MN,US
1412122085,3861,,US,3825,NH,US
1412122086,54720,,US,51503,IA,US
1412122087,33160,FL,US,31709,GA,US
1412122088,77027,TX,US,46166,IN,US
1412122089,22963,VA,US,22963,VA,US
1412122090,8854,NJ,US,19002,PA,US
1412122092,19070,PA,US,19076,PA,US
1412122092,11040,NY,US,34239,FL,US
1412122093,91701,CA,US,NULL,NULL,NULL
1412122093,92868,CA,US,32958,FL,US
1412122094,33967,FL,US,48067,MI,US
1412122094,40601,KY,US,42103,KY,US
1412122095,11414,NY,US,10591,NY,US
1412122098,7960,NJ,US,76710,TX,US
1412122101,38040,TN,US,22102,VA,US
1412122101,39043,MS,US,39272,MS,US
1412122104,89044,NV,US,23237,VA,US
1412122105,2760,MA,US,22102,VA,US
1412122105,17361,PA,US,17313,PA,US
1412122105,75041,TX,US,76209,TX,US
1412122106,43107,OH,US,43130,OH,US
1412122108,8857,NJ,US,8857,NJ,US
1412122108,63801,MO,US,7920,NJ,US
1412122108,33,,AU,60645,IL,US
1412122109,43081,OH,US,27235,NC,US
1412122109,54311,WI,US,84020,UT,US
1412122110,62269,IL,US,22102,VA,US
1412122110,17244,PA,US,17201,PA,US
1412122111,54720,,US,55313,MN,US
1412122111,93003,CA,US,93023,CA,US
1412122113,23434,VA,US,23464,VA,US
1412122114,92104,CA,US,92104,CA,US
1412122114,22952,VA,US,22102,VA,US
1412122114,61834,IL,US,61832,IL,US
1412122117,60120,IL,US,60177,IL,US
1412122118,20743,MD,US,22102,VA,US
1412122120,95121,CA,US,NULL,NULL,NULL
1412122120,28012,NC,US,76016,TX,US
1412122120,11237,NY,US,11561,NY,US
1412122121,V3L5R6,BC,CA,V3J 7K1,BC,CA
1412122122,21128,MD,US,NULL,NULL,NULL
1412122122,53210,WI,US,53089,WI,US
1412122123,20106,,US,20132,VA,US
1412122123,2072,MA,US,2301,MA,US
1412122124,7302,NJ,US,7621,NJ,US
1412122125,42378,KY,US,4412,ME,US
1412122125,1835,MA,US,10027,NY,US
1412122128,37172,TN,US,53548,WI,US
1412122130,33,,AU,55313,MN,US
1412122130,3110,NH,US,5641,VT,US
1412122132,29730,SC,US,29730,SC,US
1412122136,20106,,US,55313,MN,US
1412122139,23964,VA,US,22102,VA,US
1412122146,60453,IL,US,60655,IL,US
1412122146,38111,TN,US,38654,MS,US
1412122147,3810,NH,US,6443,CT,US
1412122150,6511,CT,US,19149,PA,US
1412122153,45614,OH,US,45631,OH,US
1412122153,94605,CA,US,97239,OR,US
1412122153,55057,MN,US,92866,CA,US
1412122154,30328,GA,US,30329,GA,US
1412122154,80249,CO,US,80401,CO,US
1412122155,28173,NC,US,28079,NC,US
1412122155,21117,MD,US,85282,AZ,US
1412122155,72135,AR,US,72031,AR,US
1412122156,11776,NY,US,32909,FL,US
1412122156,46932,IN,US,46901,IN,US
1412122157,11364,NY,US,44003,OH,US
1412122157,70395,LA,US,70301,LA,US
1412122158,78414,TX,US,78418,TX,US
1412122158,94536,CA,US,NULL,NULL,NULL
1412122161,E3B1M3,NB,CA,E3B6R6,NB,CA
1412122164,60622,IL,US,6518,CT,US
1412122165,78578,TX,US,6790,CT,US
1412122165,48047,MI,US,48047,MI,US
1412122165,23322,VA,US,89015,NV,US
1412122166,2050,MA,US,4005,ME,US
1412122167,53042,WI,US,54220,WI,US
1412122167,60559,IL,US,60041,IL,US
1412122167,33458,FL,US,29745,SC,US
1412122169,11590,NY,US,10010,NY,US
1412122174,10701,NY,US,22102,VA,US
1412122176,11746,NY,US,22102,VA,US
1412122207,90008,CA,US,91352,CA,US
1412122207,37220,TN,US,37388,TN,US
1412122207,92131,CA,US,92024,CA,US
1412122208,7012,NJ,US,6511,CT,US
1412122208,80504,,US,60423,IL,US
1412122211,45750,OH,US,43713,OH,US
1412122211,1710,DIF,MX,85086,AZ,US
1412122211,70090,LA,US,70301,LA,US
1412122212,V0B1G0,BC,CA,V0B1K0,BC,CA
1412122213,48236,MI,US,48067,MI,US
1412122213,28209,NC,US,23454,VA,US
1412122214,15131,PA,US,15045,PA,US
1412122214,32095,,US,32092,FL,US
1412122214,11201,NY,US,11218,NY,US
1412122215,30252,GA,US,NULL,NULL,NULL
1412122215,21702,MD,US,25081,WV,US
1412122216,30114,GA,US,30101,GA,US
1412122217,20715,MD,US,21403,MD,US
1412122218,75094,TX,US,78705,TX,US
1412122219,32413,FL,US,32317,FL,US
1412122221,45750,OH,US,43207,OH,US
1412122221,85295,,US,85338,AZ,US
1412122222,2886,RI,US,2879,RI,US
1412122222,S4N 6Y6,SK,CA,S4V 2J7,SK,CA
1412122222,63005,MO,US,20872,MD,US
1412122223,76039,TX,US,75249,TX,US
1412122225,97124,,US,97202,OR,US
1412122225,2777,MA,US,2726,MA,US
1412122225,48640,MI,US,20878,MD,US
1412122227,45243,OH,US,20052,DC,US
1412122228,26505,WV,US,26508,WV,US
1412122229,10026,NY,US,19460,PA,US
1412122230,75002,TX,US,75098,TX,US
1412122231,77043,,US,79703,TX,US
1412122232,80903,CO,US,80907,CO,US
1412122233,44685,OH,US,44685,OH,US
1412122234,H3K1X1,QC,CA,49341,MI,US
1412122236,90015,CA,US,80211,CO,US
1412122240,85295,,US,55313,MN,US
1412122266,97068,OR,US,98682,WA,US
1412122266,39402,MS,US,39272,MS,US
1412122267,43107,OH,US,43130,OH,US
1412122269,L5G1J8,ON,CA,V5A 3Z1,BC,CA
1412122274,76017,TX,US,76051,TX,US
1412122274,76548,TX,US,92371,CA,US
1412122275,10309,NY,US,10306,NY,US
1412122275,62254,IL,US,4769,MA,US
1412122275,7920,NJ,US,8401,NJ,US
1412122276,90807,CA,US,90045,CA,US
1412122276,21780,MD,US,17257,PA,US
1412122276,11730,NY,US,36541,AL,US
1412122277,2906,RI,US,6108,CT,US
1412122277,10282,NY,US,11229,NY,US
1412122278,32404,FL,US,32317,FL,US
1412122278,61025,IL,US,61025,IL,US
1412122278,R0E0C0,MB,CA,NULL,NULL,NULL
1412122279,17922,PA,US,17961,PA,US
1412122279,11385,NY,US,33511,FL,US
1412122279,75229,TX,US,76102,TX,US
1412122280,80023,,US,80004,CO,US
1412122281,94619,,US,94608,CA,US
1412122282,92039,CA,US,90405,CA,US
1412122283,92648,CA,US,22102,VA,US
1412122283,89406,NV,US,49341,MI,US
1412122287,36022,,US,37025,TN,US
1412122288,29036,SC,US,43235,OH,US
1412122290,30033,GA,US,20906,MD,US
1412122295,66106,KS,US,66106,KS,US
1412122298,94619,,US,55313,MN,US
1412122299,80023,,US,55313,MN,US
1412122299,30189,GA,US,30328,GA,US
1412122300,11412,NY,US,11429,NY,US
1412122325,89014,NV,US,89143,NV,US
1412122326,76240,TX,US,75249,TX,US
1412122326,45840,OH,US,61832,IL,US
1412122326,97132,,US,92584,CA,US
1412122329,7621,NJ,US,7621,NJ,US
1412122333,44109,OH,US,44212,OH,US
1412122333,2050,MA,US,NULL,NULL,NULL
1412122333,14610,NY,US,14467,NY,US
1412122334,27607,NC,US,NULL,NULL,NULL
1412122335,80125,,US,80125,CO,US
1412122336,85259,AZ,US,48067,MI,US
1412122336,6405,CT,US,6413,CT,US
1412122336,92614,CA,US,10028,NY,US
1412122337,6878,CT,US,48067,MI,US
1412122337,33967,FL,US,48067,MI,US
1412122337,49038,MI,US,54113,WI,US
1412122337,90025,CA,US,95630,CA,US
1412122338,94303,,US,95051,CA,US
1412122339,11203,NY,US,7621,NJ,US
1412122340,10307,NY,US,11214,NY,US
1412122340,77845,TX,US,78541,TX,US
1412122341,70032,LA,US,70032,LA,US
1412122342,2480,East Lismore,AU,49341,MI,US
1412122342,93105,CA,US,91107,CA,US
1412122343,80516,CO,US,60177,IL,US
1412122344,54302,WI,US,84020,UT,US
1412122344,87122,NM,US,85207,AZ,US
1412122345,75001,,US,75227,TX,US
1412122345,78613,TX,US,NULL,NULL,NULL
1412122346,80129,CO,US,NULL,NULL,NULL
1412122346,85006,AZ,US,85006,AZ,US
1412122350,94303,,US,55313,MN,US
1412122350,N8N 1R2,ON,CA,N9E1V6,ON,CA
1412122352,90048,CA,US,85248,AZ,US
1412122352,13862,,US,13841,NY,US
1412122353,98388,,US,98466,WA,US
1412122362,13862,,US,55313,MN,US
1412122365,98388,,US,55313,MN,US
1412122385,61822,IL,US,61832,IL,US
1412122386,46219,IN,US,46239,IN,US
1412122389,N5Y2W5,ON,CA,N7V2Y5,ON,CA
1412122389,BS354JA,ENG,GB,49341,MI,US
1412122390,13676,NY,US,13676,NY,US
1412122392,11733,NY,US,8527,NJ,US
1412122393,44142,OH,US,15133,PA,US
1412122393,70663,LA,US,70663,LA,US
1412122394,77494,TX,US,75442,TX,US
1412122394,80130,,US,80126,CO,US
1412122394,2072,MA,US,2145,MA,US
1412122394,23839,VA,US,NULL,NULL,NULL
1412122396,97212,,US,98665,WA,US
1412122396,21212,,US,94122,CA,US
1412122396,33709,FL,US,33702,FL,US
1412122397,74055,OK,US,NULL,NULL,NULL
1412122397,4330,ME,US,4101,ME,US
1412122398,11106,NY,US,7306,NJ,US
1412122398,27455,NC,US,NULL,NULL,NULL
1412122398,2150,MA,US,2169,MA,US
1412122399,80020,CO,US,80016,CO,US
1412122402,92602,CA,US,30533,GA,US
1412122402,92648,CA,US,10603,NY,US
1412122403,28411,NC,US,NULL,NULL,NULL
1412122405,33470,FL,US,32825,FL,US
1412122405,30067,GA,US,30062,GA,US
1412122407,35476,AL,US,35750,AL,US
1412122407,92782,CA,US,19002,PA,US
1412122408,22201,VA,US,NULL,NULL,NULL
1412122408,77535,TX,US,45873,OH,US
1412122408,10549,NY,US,10029,NY,US
1412122409,30707,GA,US,49650,MI,US
1412122410,50211,IA,US,22102,VA,US
1412122411,20003,,US,6423,CT,US
1412122411,90038,CA,US,NULL,NULL,NULL
1412122412,85006,AZ,US,85006,AZ,US
1412122414,19350,PA,US,29205,SC,US
1412122417,98272,WA,US,98270,WA,US
1412122417,82801,WY,US,NULL,NULL,NULL
1412122418,91403,CA,US,22102,VA,US
1412122418,90035,CA,US,90302,CA,US
1412122418,99163,,US,98826,WA,US
1412122418,46240,IN,US,32071,FL,US
1412122419,6026,,US,6424,CT,US
1412122424,20003,,US,55313,MN,US
1412122425,30067,GA,US,NULL,NULL,NULL
1412122446,95032,CA,US,95148,CA,US
1412122446,94114,CA,US,6801,CT,US
1412122446,95826,,US,95833,CA,US
1412122446,24333,VA,US,24330,VA,US
1412122446,44039,OH,US,49341,MI,US
1412122449,54956,WI,US,54956,WI,US
1412122449,70090,LA,US,70301,LA,US
1412122450,89117,NV,US,91324,CA,US
1412122451,2139,MA,US,60647,IL,US
1412122454,11237,NY,US,48067,MI,US
1412122454,39564,MS,US,39564,MS,US
1412122454,1835,MA,US,48067,MI,US
1412122454,N2J4K3,ON,CA,59803,MT,US
1412122454,90026,CA,US,86011,AZ,US
1412122454,23323,VA,US,11214,NY,US
1412122455,33309,FL,US,75056,TX,US
1412122455,34479,FL,US,34488,FL,US
1412122456,89031,NV,US,NULL,NULL,NULL
1412122456,N0M2G0,ON,CA,N6A 1Y2,ON,CA
1412122457,32570,,US,17347,PA,US
1412122457,75035,,US,75033,TX,US
1412122458,34476,,US,34471,FL,US
1412122459,7111,NJ,US,8857,NJ,US
1412122460,11570,NY,US,10013,NY,US
1412122461,28732,NC,US,28461,NC,US
1412122462,7450,NJ,US,7401,NJ,US
1412122462,19403,,US,19403,PA,US
1412122465,77584,TX,US,77479,TX,US
1412122465,48073,MI,US,48083,MI,US
1412122465,7928,NJ,US,90245,CA,US
1412122465,R3X2B1,MB,CA,R2C3J3,MB,CA
1412122466,6237,CT,US,19709,DE,US
1412122466,64118,MO,US,36870,AL,US
1412122467,74021,OK,US,NULL,NULL,NULL
1412122467,76040,TX,US,NULL,NULL,NULL
1412122468,40213,KY,US,NULL,NULL,NULL
1412122468,30127,GA,US,NULL,NULL,NULL
1412122469,97267,OR,US,76179,TX,US
1412122469,49729,MI,US,2878,RI,US
1412122470,83179,SON,MX,85086,AZ,US
1412122471,45014,OH,US,45233,OH,US
1412122471,10003,NY,US,10028,NY,US
1412122472,90026,,US,90068,CA,US
1412122473,76708,TX,US,76710,TX,US
1412122477,21042,MD,US,21045,MD,US
